method,mean,sd
S,-0.01785755367235865,0.011475699705092995
T,-0.02498206778678466,0.06223363368285292
DR,-0.025020882529458947,0.16827651950967476
R,-0.024462535551559028,0.05857148598420058
CausalForest,-0.02415131023112632,0.0215402068309692
Truth,-0.02520026702269693,0.31989931860715576
