method,pehe,bias,spearman,kendall
S,0.3198570175328564,0.0073427133503382765,0.01989989851200769,0.01620121137524876
T,0.3182999257881433,0.00021819923591227103,0.10302888320828191,0.08354565838707853
DR,0.3600138402247765,0.00017938449323798552,0.03556807688141967,0.028813267112921995
R,0.3213265933401964,0.0007377314711379049,0.04592256949708082,0.037155131862546785
CausalForest,0.3160260177234047,0.0010489567915706111,0.19651725268485568,0.1599385333671255
