pair_index,pointwise_sd,n_subsamples_covered
0,0.01442981367316332,3
1,0.0341515288969924,3
2,0.0036430586559238268,3
3,0.004410740340686493,3
4,0.017024212725936,3
5,0.017853580018520325,3
6,0.010389465407778423,3
7,0.02811996605646124,3
8,0.02296390011722571,3
9,0.005450771439941393,3
10,0.005484987344528497,3
11,0.004161158990283077,3
12,0.006045025419153575,3
13,0.009326300405421923,3
14,0.040217503673668754,3
15,0.015485348202789564,3
16,0.006642473970698941,3
17,0.0032494464672462487,3
18,0.003172136783357746,3
19,0.04027183736370215,3
20,0.01589037758324944,3
21,0.010663212209340595,3
22,0.02110636026878738,3
23,0.0042455117500793055,3
24,0.012643264078825489,3
25,0.013354960178778191,3
26,0.002384253977255346,3
27,0.007094986249614214,3
28,0.005284517371239191,3
29,0.04583007361328627,3
30,0.0016782748451188237,3
31,0.012647634762829527,3
32,0.0026486362984067995,3
33,0.00229975119976792,3
34,0.009748472546236744,3
35,0.0035422451289769327,3
36,0.012689878609363516,3
37,0.0225083215765645,3
38,0.005900764184622696,3
39,0.0206387325958963,3
40,0.003920249044977015,3
41,0.013266402945318754,3
42,0.01387901079177504,3
43,0.0014209488273920694,3
44,0.014681782999571734,3
45,0.00980201435533426,3
46,0.004288613981261221,3
47,0.005277378174642429,3
48,0.00786695956907831,3
49,0.004711882550792921,3
50,0.013901718892057616,3
51,0.021699691635711928,3
52,0.004302133348743273,3
53,0.005473551538547787,3
54,0.006045737363753763,3
55,0.030415344003439575,3
56,0.011505311104748032,3
57,0.004023302364195652,3
58,0.002790291832850297,3
59,0.011741789851009377,3
60,0.006572293784222507,3
61,0.019737491698120963,3
62,0.008692408318215166,3
63,0.004263578114426037,3
64,0.012958153455588515,3
65,0.005502929099041849,3
66,0.011645614883358371,3
67,0.021921212094447418,3
68,0.03686660764865781,3
69,0.013739179981630406,3
70,0.006673638819864111,3
71,0.028706395878090794,3
72,0.04085824962243678,3
73,0.05022400158002482,3
74,0.0602570453490418,3
75,0.018619135160730802,3
76,0.01307874479416033,3
77,0.024341147609246997,3
78,0.01339386880677626,3
79,0.00793489394828511,3
80,0.02872439608220957,3
81,0.03317874322155667,3
82,0.006429578249268078,3
83,0.008232849314173464,3
84,0.013603075646304393,3
85,0.008090684932547684,3
86,0.0071066708046203485,3
87,0.013270607307767983,3
88,0.001984539399343168,3
89,0.03754827944529626,3
90,0.006704425390582698,3
91,0.005015283431417978,3
92,0.005178458482613726,3
93,0.01603444513284453,3
94,0.01960004485153458,3
95,0.002572930377260103,3
96,0.005647527556084222,3
97,0.004417324248415777,3
98,0.005042342093530466,3
99,0.008221106636175974,3
100,0.009965866503040611,3
101,0.009636785095396476,3
102,0.00954246750324048,3
103,0.012989296017052926,3
104,0.007469106126311034,3
105,0.004647597335035367,3
106,0.006637980594743436,3
107,0.00509349739929477,3
108,0.010050333689913375,3
109,0.019469394255268065,3
110,0.014405010861687356,3
111,0.00609091566319099,3
112,0.006066857010600002,3
113,0.006826454081653556,3
114,0.002007254581840785,3
115,0.010618534637928449,3
116,0.01441963857465017,3
117,0.0055241002429152475,3
118,0.00526778498591397,3
119,0.0646984919463407,3
120,0.0076797911054273926,3
121,0.004343587546381344,3
122,0.023007319611046666,3
123,0.0067315552882784065,3
124,0.005345096972607746,3
125,0.017998986413915768,3
126,0.010453554055476367,3
127,0.028317968567405854,3
128,0.0056796904649495435,3
129,0.013476053103262215,3
130,0.011240886822257276,3
131,0.00988118110197266,3
132,0.010621484492532052,3
133,0.007087199836479144,3
134,0.00887328092810033,3
135,0.011311810862975297,3
136,0.010633634107128693,3
137,0.012440860353832378,3
138,0.010390999440375116,3
139,0.02311277496494692,3
140,0.00630218408063985,3
141,0.012314520238834137,3
142,0.0056236257948656014,3
143,0.011472962919589732,3
144,0.007430335627105738,3
145,0.018067520029322846,3
146,0.0012752674936884964,3
147,0.013464994514252983,3
148,0.0067802287570759776,3
149,0.010437860232181155,3
150,0.006024776357649294,3
151,0.003046576298008348,3
152,0.010377365538252217,3
153,0.014243525777736996,3
154,0.011736717785139688,3
155,0.009176775812671832,3
156,0.0206880120716444,3
157,0.05620454343017439,3
158,0.01768315049474284,3
159,0.0047866102007555165,3
160,0.007775725918529596,3
161,0.007112286580527052,3
162,0.008434424171305707,3
163,0.007580711272587595,3
164,0.00627193596511144,3
165,0.006920161754058107,3
166,0.00118861992385349,3
167,0.005272873439629366,3
168,0.004602124013510702,3
169,0.015764510315484138,3
170,0.07061388212284239,3
171,0.009039657363274212,3
172,0.015973120585183218,3
173,0.012871504570670952,3
174,0.0019594456621305784,3
175,0.05434330307550716,3
176,0.017525685420528115,3
177,0.010830327135266962,3
178,0.028908482996146796,3
179,0.013473345030968973,3
180,0.01922221573723826,3
181,0.009730782587525084,3
182,0.011601415314567905,3
183,0.004054404698858428,3
184,0.007459463951346144,3
185,0.004922177516724835,3
186,0.02548468491513104,3
187,0.0037781313128126266,3
188,0.013845159777807248,3
189,0.00584577204860349,3
190,0.020842102284242495,3
191,0.012039485414853737,3
192,0.010896651270036221,3
193,0.006934199610630421,3
194,0.006133487949349979,3
195,0.004668780254428731,3
196,0.005398984983073907,3
197,0.016831366776835426,3
198,0.00129102027605049,3
199,0.01265815041037731,3
200,0.022464288130892417,3
201,0.00493346172542805,3
202,0.0072295059662425415,3
203,0.003410964276114203,3
204,0.019839225198791926,3
205,0.08056836415555865,3
206,0.011158356269622235,3
207,0.004946302080112616,3
208,0.013769760336435522,3
209,0.004918881730829861,3
210,0.01565432792300716,3
211,0.0020872447326965803,3
212,0.007559177887898377,3
213,0.00014071493632426862,3
214,0.03282210132399938,3
215,0.002482049293670366,3
216,0.0503941199511671,3
217,0.009351724523528247,3
218,0.0017853237004816583,3
219,0.002605294890021717,3
220,0.01340676809712315,3
221,0.0058394134126105585,3
222,0.007036649312495136,3
223,0.037718211615143674,3
224,0.007354637612151391,3
225,0.004172243708108367,3
226,0.004060227280446616,3
227,0.01817854870120921,3
228,0.0013638757380070592,3
229,0.00862389824635658,3
230,0.009324078779136128,3
231,0.003442287340601921,3
232,0.01375450545186138,3
233,0.006238284290995791,3
234,0.004697939307453827,3
235,0.03641060202809125,3
236,0.07113422331860189,3
237,0.0070151822119224536,3
238,0.043186104422700204,3
239,0.014222636446560114,3
240,0.01691457527010828,3
241,0.0075804128568474636,3
242,0.000959284505245544,3
243,0.007496679458745737,3
244,0.019771191380560063,3
245,0.008176729184578452,3
246,0.016292364550005795,3
247,0.007614837398964778,3
248,0.009115170567457292,3
249,0.0021261778215801354,3
250,0.013698253404678081,3
251,0.013925189817843546,3
252,0.0092440504229322,3
253,0.0031382346377814936,3
254,0.03329811812739518,3
255,0.00560427896209839,3
256,0.014607264321574658,3
257,0.003915527166359234,3
258,0.01104754859205475,3
259,0.008697093747065157,3
260,0.005368714288512196,3
261,0.016557781880259297,3
262,0.0013501039144675775,3
263,0.003594903239166874,3
264,0.0058011132341401405,3
265,0.012643705548939807,3
266,0.003808123813015896,3
267,0.01006016945324705,3
268,0.01252144678635882,3
269,0.0019385322869095354,3
270,0.010261280875746221,3
271,0.013293671589380189,3
272,0.02162240632797569,3
273,0.010882636722693418,3
274,0.010704200338492996,3
275,0.028409772443535663,3
276,0.015392762837939875,3
277,0.05583941183316611,3
278,0.011253952665653827,3
279,0.0056781191814768124,3
280,0.004687082044383587,3
281,0.004339566096627692,3
282,0.006211105359296596,3
283,0.15714207767501528,3
284,0.007640002869171732,3
285,0.010039718345195372,3
286,0.01117101589610449,3
287,0.005832308120672218,3
288,0.010651498257338866,3
289,0.004797703279725291,3
290,0.011808481720495832,3
291,0.009249643992809501,3
292,0.015274225728602946,3
293,0.005162348552233218,3
294,0.00965285106043385,3
295,0.027782149022259697,3
296,0.057335603335927424,3
297,0.009065529057651947,3
298,0.00392279645470737,3
299,0.009711848930099586,3
300,0.010915835018382095,3
301,0.0075227234412021384,3
302,0.0013825119409788388,3
