fraction,toc,overall_ate
0.01,-1.599398900210225,-0.02484650099189635
0.02,-1.3452975289241786,-0.02484650099189635
0.03,-1.159498385422525,-0.02484650099189635
0.04,-1.0951636391759245,-0.02484650099189635
0.05,-1.0354390535956295,-0.02484650099189635
0.060000000000000005,-0.9649614049355925,-0.02484650099189635
0.06999999999999999,-0.8861667792166483,-0.02484650099189635
0.08,-0.8377931513496837,-0.02484650099189635
0.09,-0.7845924018037264,-0.02484650099189635
0.09999999999999999,-0.7437050976835593,-0.02484650099189635
0.11,-0.7034409761507867,-0.02484650099189635
0.12,-0.6603607727714933,-0.02484650099189635
0.13,-0.618618304707057,-0.02484650099189635
0.14,-0.5847957471491083,-0.02484650099189635
0.15000000000000002,-0.5572512236794404,-0.02484650099189635
0.16,-0.531221033173589,-0.02484650099189635
0.17,-0.5081711639750572,-0.02484650099189635
0.18000000000000002,-0.49141111533527804,-0.02484650099189635
0.19,-0.4723141133491574,-0.02484650099189635
0.2,-0.4530062273800083,-0.02484650099189635
0.21000000000000002,-0.43481176136338323,-0.02484650099189635
0.22,-0.4171982348342279,-0.02484650099189635
0.23,-0.40532321124286114,-0.02484650099189635
0.24000000000000002,-0.39350426096763025,-0.02484650099189635
0.25,-0.38240705996531954,-0.02484650099189635
0.26,-0.371057318152951,-0.02484650099189635
0.27,-0.3596667602998219,-0.02484650099189635
0.28,-0.3485901652077117,-0.02484650099189635
0.29000000000000004,-0.3355197348234929,-0.02484650099189635
0.3,-0.32718792521023915,-0.02484650099189635
0.31,-0.31732923328033213,-0.02484650099189635
0.32,-0.307411532472224,-0.02484650099189635
0.33,-0.2984509105803217,-0.02484650099189635
0.34,-0.29111767915105907,-0.02484650099189635
0.35000000000000003,-0.2833780261232519,-0.02484650099189635
0.36000000000000004,-0.27529281526263355,-0.02484650099189635
0.37,-0.26931597830418935,-0.02484650099189635
0.38,-0.26273872941682913,-0.02484650099189635
0.39,-0.2576306506066438,-0.02484650099189635
0.4,-0.25130968409803117,-0.02484650099189635
0.41000000000000003,-0.24613251750947088,-0.02484650099189635
0.42000000000000004,-0.2405237873265991,-0.02484650099189635
0.43,-0.23556360890716613,-0.02484650099189635
0.44,-0.23169209434716576,-0.02484650099189635
0.45,-0.22772042320551686,-0.02484650099189635
0.46,-0.22382425870822586,-0.02484650099189635
0.47000000000000003,-0.2191362084402601,-0.02484650099189635
0.48000000000000004,-0.21465466668630626,-0.02484650099189635
0.49,-0.21055980472953886,-0.02484650099189635
0.5,-0.2065045944322995,-0.02484650099189635
0.51,-0.20262977715886013,-0.02484650099189635
0.52,-0.1985778186443739,-0.02484650099189635
0.53,-0.1942388955777175,-0.02484650099189635
0.54,-0.19032123108300122,-0.02484650099189635
0.55,-0.1870919893375433,-0.02484650099189635
0.56,-0.18265727205365764,-0.02484650099189635
0.5700000000000001,-0.17942757264745038,-0.02484650099189635
0.5800000000000001,-0.176737908347144,-0.02484650099189635
0.59,-0.17378903131567797,-0.02484650099189635
0.6,-0.1701671470279832,-0.02484650099189635
0.61,-0.1667604160533383,-0.02484650099189635
0.62,-0.16383036221462938,-0.02484650099189635
0.63,-0.16112974731265317,-0.02484650099189635
0.64,-0.15820508046400436,-0.02484650099189635
0.65,-0.15594063314235104,-0.02484650099189635
0.66,-0.1539187879784751,-0.02484650099189635
0.67,-0.1506556265153048,-0.02484650099189635
0.68,-0.14802836706446976,-0.02484650099189635
0.6900000000000001,-0.14461490244955458,-0.02484650099189635
0.7000000000000001,-0.14347998098927728,-0.02484650099189635
0.7100000000000001,-0.14114209758509896,-0.02484650099189635
0.72,-0.1385871322217405,-0.02484650099189635
0.73,-0.13649615561747722,-0.02484650099189635
0.74,-0.13406547027476476,-0.02484650099189635
0.75,-0.13159502105744503,-0.02484650099189635
0.76,-0.12884898689378546,-0.02484650099189635
0.77,-0.12607755891014144,-0.02484650099189635
0.78,-0.12432813334326248,-0.02484650099189635
0.79,-0.11999268802150605,-0.02484650099189635
0.8,-0.11771191146153002,-0.02484650099189635
0.81,-0.11412424452592071,-0.02484650099189635
0.8200000000000001,-0.11276246139992696,-0.02484650099189635
0.8300000000000001,-0.10977135568106697,-0.02484650099189635
0.8400000000000001,-0.10678941953816443,-0.02484650099189635
0.85,-0.10321031782747953,-0.02484650099189635
0.86,-0.09972670720035956,-0.02484650099189635
0.87,-0.09715329274446856,-0.02484650099189635
0.88,-0.0942943066960023,-0.02484650099189635
0.89,-0.0903766220659279,-0.02484650099189635
0.9,-0.08660393047013729,-0.02484650099189635
0.91,-0.08141226505106294,-0.02484650099189635
0.92,-0.07839861321314771,-0.02484650099189635
0.93,-0.07223390945687976,-0.02484650099189635
0.9400000000000001,-0.06723544171879425,-0.02484650099189635
0.9500000000000001,-0.0614588351162609,-0.02484650099189635
0.9600000000000001,-0.05427549587549599,-0.02484650099189635
0.97,-0.04746466277247196,-0.02484650099189635
0.98,-0.04032784330376759,-0.02484650099189635
0.99,-0.032983146732391486,-0.02484650099189635
1.0,-0.024846500991896323,-0.02484650099189635
