feature,aipw_coef,aipw_se,aipw_p,truth_coef,truth_se,truth_p
const,-0.035530993718483124,0.03496260247700928,0.30950696200570493,-0.02196543376396725,0.014542429357473415,0.130931771234212
gestat10,-0.013039177843752092,0.005817536775606449,0.025002947602824854,-0.00010257998637314234,0.002241674968455579,0.9635012066069194
nprevistq,-4.849645806130555e-05,0.004746297828614741,0.9918475613524379,-0.0006824865104751012,0.002261720843701113,0.7628385214836888
mager8,0.010403149528886813,0.006576712536749573,0.11369156707345766,-0.002198422738138723,0.0026383007718656704,0.4046912206078148
meduc6,0.005454897543363708,0.00674557267458915,0.4187088022997536,0.001486094115338924,0.0029418416272937497,0.6134480382040017
anemia,-0.018585002379807404,0.03328027317301379,0.5765446495914952,0.004973956977176867,0.016415679406635547,0.7618895776220398
diabetes,-0.046771221579088126,0.03794166289597715,0.21768246167570338,0.001478146250081639,0.022583651357095263,0.9478140839581595
chyper,0.11245446061845847,0.07431582980390204,0.13022972888158715,0.04359174211216155,0.026269039752483996,0.09702833608003501
preterm,-0.03932071643915287,0.04376289555636471,0.3689220311717484,0.03132429746066499,0.016983518919013334,0.0651257662440637
