test,original,refuted,delta,pvalue
placebo_treatment,-0.02484650099189635,-0.00034750476408505087,-0.00034750476408505087,0.6368032672811583
random_common_cause,-0.02484650099189635,-0.02519253650453792,-0.00034603551264156956,
subset_refuter,-0.02484650099189635,-0.023501245339107593,0.0013452556527887571,
