method,evaluation,r_loss,dr_score_mse
S,5-fold CATE-stage heldout,0.09844879623303308,0.5014986922915187
T,5-fold CATE-stage heldout,0.09887861553951643,0.503707011014944
DR,5-fold CATE-stage heldout,0.1010048335616664,0.5043942243510117
R,5-fold CATE-stage heldout,0.09869379064757662,0.5032544434736932
CausalForest,5-fold CATE-stage heldout,0.09845663726435228,0.5013894481782796
