group,n,gate,se,ci_low,ci_high,mean_tau_hat,true_gate,true_se,true_ci_low,true_ci_high
Q1 (gest. age),6681,-0.01761031134671417,0.01007678556164557,-0.03736081104753949,0.0021401883541111444,-0.021971289320516403,-0.02933692560993863,0.004604621855920226,-0.038361984447542276,-0.020311866772334985
Q2 (gest. age),4058,-0.028115655524223952,0.006247961206780984,-0.04036165948951468,-0.015869651558933225,-0.02578118971720658,-0.018482010842779693,0.0034115749933011207,-0.02516869782964989,-0.011795323855909496
Q3 (gest. age),1245,-0.05302220695758048,0.023177597970126446,-0.09845029897902832,-0.00759411493613265,-0.03053738954780996,-0.024899598393574297,0.007547595695565119,-0.03969288595688193,-0.010106310830266663
