method,estimate,se,ci_low,ci_high,n
OutcomeRegression,-0.024157551026364635,0.0005711384010532211,-0.02527696172261674,-0.02303814033011253,11984
AIPW,-0.02484650099189635,0.006468046591165936,-0.037523639360908655,-0.012169362622884048,11984
WithinPair (ground truth),-0.02520026702269693,0.0029223386056813714,,,11984
