group,n,mean_tau_hat,mean_ci_width,frac_ci_excludes_zero
Q1 (gest. age),6681,-0.021971289320516403,0.1435973436472886,0.06481065708726239
Q2 (gest. age),4058,-0.02578118971720658,0.08680792562382121,0.12690980778708724
Q3 (gest. age),1245,-0.03053738954780996,0.09575816337298149,0.17028112449799196
